"polugodiste","ucenika sa izostancima","ucenika bez izostanaka","ucenika sa opravdanim","broj opravdanih","ucenika sa neopravdanim","broj neopravdanih","ucenika sa neregulisanim","broj neregulisanih","ukupno izostanaka","broj izostanaka po uceniku","godina","odeljenje","pandemija"
2,"28","2","28","1289","14","18","0","0","1307","43.57","II","5",FALSE
1,"27","1","27","2459","22","117","0","0","2576","92","II","6",FALSE
2,"27","1","27","1453","7","12","1","1","1466","52.36","II","6",FALSE
1,"26","2","26","1229","10","19","0","0","1248","44.57","II","7",FALSE
2,"26","2","24","753","13","16","0","0","769","27.46","II","7",FALSE
1,"31","1","31","1417","5","11","0","0","1428","44.63","II","8",FALSE
2,"31","1","31","1266","3","4","0","0","1270","39.69","II","8",FALSE
1,"23","0","23","978","14","37","0","0","1015","44.13","II","si",FALSE
2,"22","1","22","1173","6","8","3","3","1184","51.48","II","si",FALSE
1,"16","1","16","1137","3","4","0","0","1141","67.12","II","sm",FALSE
2,"17","0","17","1068","2","5","0","0","1073","63.12","II","sm",FALSE
1,"32","0","32","1845","26","74","0","0","1919","59.97","III","1",FALSE
2,"32","0","32","1697","20","30","1","2","1729","54.03","III","1",FALSE
1,"33","0","33","1520","18","36","0","0","1556","47.15","III","2",FALSE
2,"33","0","33","1165","23","48","0","0","1213","36.76","III","2",FALSE
1,"29","0","29","1622","12","18","0","0","1640","56.55","III","3",FALSE
2,"29","0","28","1546","24","44","0","0","1590","54.83","III","3",FALSE
1,"25","3","25","1048","10","12","0","0","1060","37.86","III","4",FALSE
2,"25","3","24","722","11","17","4","4","743","26.54","III","4",FALSE
1,"30","0","30","1858","16","32","0","0","1890","63","III","5",FALSE
2,"30","0","30","1675","13","21","16","18","1714","57.13","III","5",FALSE
1,"33","0","33","2244","32","114","0","0","2358","71.45","III","6",FALSE
2,"32","1","32","1981","26","60","0","0","2041","61.85","III","6",FALSE
1,"30","0","30","1287","5","8","0","0","1295","43.17","III","7",FALSE
2,"30","0","30","1049","8","9","0","0","1058","35.27","III","7",FALSE
1,"27","1","27","1903","19","45","0","0","1948","69.57","III","8",FALSE
2,"28","0","28","1216","15","36","0","0","1252","44.71","III","8",FALSE
1,"28","0","28","1112","10","16","0","0","1128","40.29","III","9",FALSE
2,"28","0","28","958","13","22","0","0","980","35","III","9",FALSE
1,"26","0","26","1792","11","25","0","0","1817","69.88","III","si",FALSE
2,"26","0","26","1120","12","22","0","0","1142","43.92","III","si",FALSE
1,"17","0","17","1042","9","25","0","0","1067","62.76","III","sm",FALSE
2,"15","2","15","939","9","18","1","1","958","56.35","III","sm",FALSE
1,"32","0","32","3276","19","102","0","0","3378","105.56","IV","1",FALSE
2,"32","0","32","1415","24","41","0","0","1456","45.5","IV","1",FALSE
1,"31","0","31","2026","19","62","0","0","2088","67.35","IV","2",FALSE
2,"29","2","29","1288","21","29","0","0","1317","42.48","IV","2",FALSE
1,"29","0","28","1626","25","43","0","0","1669","57.55","IV","3",FALSE
2,"29","0","29","1213","15","25","0","0","1238","42.69","IV","3",FALSE
1,"29","0","29","1951","23","57","0","0","2008","69.24","IV","4",FALSE
2,"28","1","28","1031","14","17","0","0","1048","36.14","IV","4",FALSE
1,"33","0","33","2592","28","112","0","0","2704","81.94","IV","5",FALSE
2,"33","0","33","1635","19","22","0","0","1657","50.21","IV","5",FALSE
1,"27","1","27","2545","24","64","0","0","2609","93.18","IV","6",FALSE
2,"27","1","27","1253","21","30","0","0","1283","45.82","IV","6",FALSE
1,"34","0","34","2145","28","100","0","0","2245","66.03","IV","7",FALSE
2,"34","0","34","1582","14","17","0","0","1599","47.03","IV","7",FALSE
1,"30","1","30","1690","18","54","0","0","1744","56.26","IV","8",FALSE
2,"31","0","31","1245","5","7","0","0","1252","40.39","IV","8",FALSE
1,"19","1","19","1085","16","48","0","0","1133","56.65","IV","si",FALSE
2,"20","0","20","663","4","5","0","0","668","33.4","IV","si",FALSE
1,"21","0","21","1444","3","3","0","0","1447","68.9","IV","sm",FALSE
2,"21","0","21","792","2","2","0","0","794","37.81","IV","sm",FALSE
1,"20","3","20","568","2","4","0","0","572","24.87","VII","sm",FALSE
2,"22","1","22","453","1","1","0","0","454","19.74","VII","sm",FALSE
1,"23","2","23","882","7","10","0","0","892","35.68","VIII","sm",FALSE
2,"25","0","25","415","0","0","0","0","415","16.6","VIII","sm",FALSE
